dataset,baseline,metric,mean,sample_sd,seed_ids_json,seed_values_json
unsw,DecisionTree,accuracy,0.7296227469,0.0026769195,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.7247485789243551, 0.7324005247048535, 0.7274571248117379, 0.7322426274109702, 0.7303478598843706, 0.7305300490696206, 0.7323276490307535, 0.7295097896322208, 0.730505757178254, 0.7261575086236214]"
unsw,DecisionTree,balanced_accuracy,0.5177163016,0.0061085938,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.5177993907515334, 0.5134243107277227, 0.5118878433488641, 0.5076717818850994, 0.5182683811797918, 0.5238548153472188, 0.5288545435835006, 0.5209924184425363, 0.5150553446751143, 0.5193541861758882]"
unsw,DecisionTree,macro_precision,0.4972136743,0.0094713826,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.4909477520181958, 0.4928638192007395, 0.5130365136381088, 0.48979676001736944, 0.5031917391288631, 0.48992842482170695, 0.5040219814021895, 0.4971003380437976, 0.5079450213728048, 0.4833043933800859]"
unsw,DecisionTree,macro_recall,0.5177163016,0.0061085938,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.5177993907515334, 0.5134243107277227, 0.5118878433488641, 0.5076717818850994, 0.5182683811797918, 0.5238548153472188, 0.5288545435835006, 0.5209924184425363, 0.5150553446751143, 0.5193541861758882]"
unsw,DecisionTree,macro_f1,0.4938804621,0.0057405019,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.4913029829646007, 0.48989804208212356, 0.49913078236083763, 0.48581554072654426, 0.49865919539612047, 0.49406220039984294, 0.5043410508688291, 0.49309626142432694, 0.49541545221442285, 0.4870831121918364]"
unsw,DecisionTree,weighted_f1,0.7609520567,0.0018505391,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.7574987401540475, 0.7630986137847259, 0.759397017382074, 0.7623808566125324, 0.7613038379774465, 0.7608265337744581, 0.7629637694371225, 0.762130198795919, 0.7610298104866526, 0.7588911887595565]"
unsw,DecisionTree,mcc,0.6503591603,0.0031718525,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.6444003920177812, 0.6538781018793143, 0.6478399370862847, 0.6530510860658063, 0.6515359278794222, 0.6509727667812456, 0.653350853416925, 0.6511262515293794, 0.6512058318095175, 0.6462304546824676]"
unsw,DecisionTree,log_loss,7.4528075178,0.0925269367,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[7.620999934075337, 7.415061799101621, 7.378557502663484, 7.374989064770105, 7.453826247552881, 7.461454840598244, 7.414472695554828, 7.34749397832208, 7.4563590609189205, 7.604860054341367]"
unsw,DecisionTree,macro_roc_auc_ovr,0.8363012552,0.0034090610,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.8368611241950763, 0.8354901424003065, 0.8336370516934041, 0.8306612902792503, 0.8371837864744162, 0.8365623768059626, 0.8384903992750445, 0.843708866906228, 0.8342554692160078, 0.8361620450015035]"
unsw,DecisionTree,macro_pr_auc_ovr,0.4223666409,0.0050398066,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.42106997267698165, 0.41795592165108053, 0.4274116965229807, 0.4126944254156066, 0.4275810338220979, 0.4206781088599147, 0.42799967880847933, 0.42189183285649967, 0.42673426434109085, 0.41964947395973917]"
unsw,DecisionTree,attack_pr_auc,0.8332870996,0.0015270617,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.831373064792749, 0.8341159524643548, 0.8356208666934238, 0.8347075800389377, 0.830444920515358, 0.8332021395610965, 0.8325819314794293, 0.8332330682029886, 0.8336090620161981, 0.8339824099925028]"
