dataset,variant,comparison,mean_spearman,mean_top10_jaccard
unsw,raw,between_seed_stability,0.9913135078,1.0000000000
unsw,raw_weight,between_seed_stability,0.9884900377,1.0000000000
unsw,random_over,between_seed_stability,0.9925631814,0.8828282828
unsw,smotenc,between_seed_stability,0.9921418218,0.9151515152
unsw,smotenc_tomek,between_seed_stability,0.9826486238,0.8747474747
unsw,smotenc_tomek_weight,between_seed_stability,0.9781541204,1.0000000000
unsw,smotenc_tomek_residual_weight,between_seed_stability,0.9778263962,1.0000000000
unsw,smotenc_tomek_residual_weight,proposed_vs_raw_explanation_drift,0.9063609108,0.8181818182
nslkdd,raw,between_seed_stability,0.9887709812,0.8370370370
nslkdd,raw_weight,between_seed_stability,0.9910569106,0.7858585859
nslkdd,random_over,between_seed_stability,0.9910860955,0.8909090909
nslkdd,smotenc,between_seed_stability,0.9909860329,0.9070707071
nslkdd,smotenc_tomek,between_seed_stability,0.9896101730,0.9353535354
nslkdd,smotenc_tomek_weight,between_seed_stability,0.9875452148,0.9151515152
nslkdd,smotenc_tomek_residual_weight,between_seed_stability,0.9881926204,1.0000000000
nslkdd,smotenc_tomek_residual_weight,proposed_vs_raw_explanation_drift,0.9488318369,0.7272727273
cicids2017,raw,between_seed_stability,0.9544900400,0.8787878788
cicids2017,raw_weight,between_seed_stability,0.9661796016,0.8181818182
cicids2017,random_over,between_seed_stability,0.9624580745,0.8787878788
cicids2017,smotenc,between_seed_stability,0.9452153878,0.8787878788
cicids2017,smotenc_tomek,between_seed_stability,0.9436404468,0.8181818182
cicids2017,smotenc_tomek_weight,between_seed_stability,0.9495668912,0.8787878788
cicids2017,smotenc_tomek_residual_weight,between_seed_stability,0.9585615539,0.7777777778
cicids2017,smotenc_tomek_residual_weight,proposed_vs_raw_explanation_drift,0.8522238749,0.7676767677
