dataset,class,variant,metric,mean,sample_sd,seed_ids_json,seed_values_json
unsw,Analysis,raw,precision,0.0393244445,0.0055570681,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.044226044226044224, 0.04112718964204113, 0.037116345467523196, 0.038922155688622756, 0.03304692663582287, 0.04805914972273567, 0.0392156862745098, 0.044813278008298756, 0.03714020427112349, 0.029577464788732393]"
unsw,Analysis,raw,recall,0.0738552437,0.0073690938,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.07976366322008863, 0.07976366322008863, 0.07680945347119646, 0.07680945347119646, 0.07385524372230429, 0.07680945347119646, 0.07385524372230429, 0.07976366322008863, 0.059084194977843424, 0.0620384047267356]"
unsw,Analysis,raw,f1,0.0511954795,0.0060610585,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.05690200210748156, 0.054271356783919596, 0.05004812319538017, 0.051664182811723795, 0.045662100456621, 0.059124502558271744, 0.05122950819672131, 0.057385759829968117, 0.04561003420752566, 0.04005722460658083]"
unsw,Analysis,smotenc_tomek_residual_weight,precision,0.0283435890,0.0141072219,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.03201164059658058, 0.010159651669085631, 0.0091324200913242, 0.04882514494964907, 0.021415270018621976, 0.041758241758241756, 0.029006013441811106, 0.020702402957486137, 0.046987604496973194, 0.0234375]"
unsw,Analysis,smotenc_tomek_residual_weight,recall,0.1292466765,0.0733686581,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.12998522895125553, 0.0413589364844904, 0.03545051698670606, 0.2363367799113737, 0.1019202363367799, 0.1964549483013294, 0.12112259970457903, 0.0827178729689808, 0.24076809453471196, 0.10635155096011817]"
unsw,Analysis,smotenc_tomek_residual_weight,f1,0.0464368598,0.0236737200,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.05137186223000584, 0.01631226332653656, 0.014523449319213313, 0.08093070308548306, 0.035393690689920494, 0.06887622993267736, 0.04680365296803653, 0.03311649911295092, 0.07863000482392668, 0.03841024273139504]"
unsw,Backdoor,raw,precision,0.0320766551,0.0046386905,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.027966742252456538, 0.03070175438596491, 0.03320754716981132, 0.030497592295345103, 0.03581267217630854, 0.02699309478970496, 0.03399209486166008, 0.026621160409556314, 0.03305249513933895, 0.04192139737991266]"
unsw,Backdoor,raw,recall,0.0727272727,0.0076794206,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.0634648370497427, 0.07204116638078903, 0.07547169811320754, 0.06518010291595197, 0.06689536878216124, 0.07375643224699828, 0.07375643224699828, 0.06689536878216124, 0.08747855917667238, 0.0823327615780446]"
unsw,Backdoor,raw,f1,0.0443882450,0.0053176819,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.03882476390346275, 0.043054843669912864, 0.04612159329140461, 0.04155276107162384, 0.04665071770334928, 0.03952205882352941, 0.046536796536796536, 0.0380859375, 0.04797742238946378, 0.05555555555555555]"
unsw,Backdoor,smotenc_tomek_residual_weight,precision,0.0509041643,0.0109826709,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.04796559708898445, 0.06700842182350787, 0.06022408963585434, 0.02937365010799136, 0.06142288996906761, 0.04985754985754986, 0.04427767354596623, 0.04782270606531882, 0.043411448328851326, 0.05767761650114591]"
unsw,Backdoor,smotenc_tomek_residual_weight,recall,0.2319039451,0.0556561999,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.24871355060034306, 0.313893653516295, 0.2950257289879931, 0.11663807890222985, 0.23842195540308747, 0.24013722126929674, 0.20240137221269297, 0.2109777015437393, 0.19382504288164665, 0.25900514579759865]"
unsw,Backdoor,smotenc_tomek_residual_weight,f1,0.0833984970,0.0181700230,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.08042151968940654, 0.11044055522027761, 0.10002907822041292, 0.04692891649413389, 0.09768095572733661, 0.08257151282807432, 0.07266009852216748, 0.07797147385103011, 0.0709353421217828, 0.0943455170259294]"
unsw,DoS,raw,precision,0.5455344167,0.0720997946,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.526060606060606, 0.5815295815295816, 0.6255924170616114, 0.5966850828729282, 0.45129224652087474, 0.4568023833167825, 0.6584158415841584, 0.47778981581798485, 0.509367681498829, 0.5718085106382979]"
unsw,DoS,raw,recall,0.1047688921,0.0054456018,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.10613842015162632, 0.09855710442651015, 0.09684519442406456, 0.10564930300807043, 0.11102959158718513, 0.11249694301785278, 0.09757887013939838, 0.1078503301540719, 0.10638297872340426, 0.10516018586451455]"
unsw,DoS,raw,f1,0.1750775370,0.0046283471,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.17663817663817663, 0.1685487243831033, 0.16772554002541296, 0.17951381674631206, 0.17821393523061826, 0.18053375196232338, 0.16996805111821087, 0.17597765363128492, 0.17600647380133522, 0.17764924602354884]"
unsw,DoS,smotenc_tomek_residual_weight,precision,0.3390394508,0.0123186508,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.3408231835363293, 0.33684412102642664, 0.3323076923076923, 0.33798114689709347, 0.3291524135309768, 0.36595938854665755, 0.3269749518304432, 0.32536325179326836, 0.34491419003767265, 0.3500741682559864]"
unsw,DoS,smotenc_tomek_residual_weight,recall,0.4141110296,0.0141675445,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.39691856199559794, 0.4301785277573979, 0.42259721203228173, 0.42088530202983615, 0.4235754463193935, 0.39227194913181707, 0.41501589630716557, 0.4326241134751773, 0.4030325262900465, 0.40401076057715823]"
