dataset,variant,metric,mean,sample_sd,seed_ids_json,seed_values_json
unsw,raw,accuracy,0.7679954331,0.0014881546,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.7690691347228296, 0.7678909779915464, 0.768170334742263, 0.7694578049846961, 0.7674172861098966, 0.7661176699217801, 0.7709031725210125, 0.76626342126998, 0.76688286449983, 0.7677816644803964]"
unsw,raw,balanced_accuracy,0.5440672942,0.0046871713,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.5357988402711477, 0.5459637644086844, 0.5503760592350179, 0.5432567135632571, 0.5427885942283681, 0.5427544739009673, 0.5444875310104795, 0.537966627116065, 0.5498082900002161, 0.5474720477796566]"
unsw,raw,macro_precision,0.5404711153,0.0076269440,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.5381322520514413, 0.5401573904833141, 0.5498530818506498, 0.5420449805291758, 0.5315685095023095, 0.5335238011944201, 0.5545184315020613, 0.5318602524283531, 0.5379038463569712, 0.5451486072494351]"
unsw,raw,macro_recall,0.5440672942,0.0046871713,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.5357988402711477, 0.5459637644086844, 0.5503760592350179, 0.5432567135632571, 0.5427885942283681, 0.5427544739009673, 0.5444875310104795, 0.537966627116065, 0.5498082900002161, 0.5474720477796566]"
unsw,raw,macro_f1,0.5095613025,0.0034770265,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.5044562243799044, 0.5089282688216601, 0.5129076741553205, 0.5078512420591218, 0.5094624994966378, 0.5090847734368065, 0.5122646095237462, 0.5039357027347011, 0.5136390806168134, 0.5130829496243916]"
unsw,raw,weighted_f1,0.7809144837,0.0008528546,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.7816786876482634, 0.780587558892754, 0.7810213525462016, 0.782015746155152, 0.7809382883108003, 0.7803117675178903, 0.7823522219159176, 0.7799913527467559, 0.7799024384336793, 0.7803454225698158]"
unsw,raw,mcc,0.7001201234,0.0020372695,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.701679916361181, 0.6999404302406054, 0.7011449866243639, 0.702225524896901, 0.699029216835378, 0.6977305531909982, 0.7038309667213897, 0.6980437572531193, 0.6981266155022008, 0.6994492659188907]"
unsw,raw,log_loss,0.5323725197,0.0030915690,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.5305660489699244, 0.532802562745597, 0.5312227988178282, 0.5311245002558037, 0.5321170812460824, 0.5382860618784018, 0.5264205712029794, 0.5333413419816411, 0.5352431898448151, 0.532601039747059]"
unsw,raw,macro_roc_auc_ovr,0.9633017127,0.0003134532,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.963234627547018, 0.9634697937004004, 0.9636572084711125, 0.9635608746298356, 0.9631599847930431, 0.9625632836695306, 0.9635951063768392, 0.9632330893461566, 0.9632690403837204, 0.9632741180496474]"
unsw,raw,macro_pr_auc_ovr,0.5752693217,0.0022506799,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.5765973473134522, 0.5737602437849011, 0.5762714836165638, 0.5736710647368113, 0.5775497377403096, 0.5711789571119719, 0.5766993352606132, 0.5776595786223959, 0.5727110456125943, 0.5765944231003253]"
