dataset,architecture,configuration,metric,mean,sample_sd,seeds
unsw,MLP,raw,macro_f1,0.4468660382,0.0039061791,10
unsw,MLP,raw,macro_pr_auc_ovr,0.5167789117,0.0040375462,10
unsw,MLP,raw,attack_recall_at_validation_1pct_fpr,0.9038207006,0.0071320169,10
unsw,MLP,raw,threshold_false_alerts_per_10000_benign,466.1621621622,79.6351350077,10
unsw,MLP,smotenc_tomek_weight,macro_f1,0.3891640527,0.0040914359,10
unsw,MLP,smotenc_tomek_weight,macro_pr_auc_ovr,0.4562563613,0.0089802644,10
unsw,MLP,smotenc_tomek_weight,attack_recall_at_validation_1pct_fpr,0.8206807553,0.0192874300,10
unsw,MLP,smotenc_tomek_weight,threshold_false_alerts_per_10000_benign,414.8918918919,89.4580940353,10
unsw,MLP,smotenc_tomek_residual_weight,macro_f1,0.4295876286,0.0039592877,10
unsw,MLP,smotenc_tomek_residual_weight,macro_pr_auc_ovr,0.4905339337,0.0046765275,10
unsw,MLP,smotenc_tomek_residual_weight,attack_recall_at_validation_1pct_fpr,0.8802192712,0.0068146550,10
unsw,MLP,smotenc_tomek_residual_weight,threshold_false_alerts_per_10000_benign,426.1351351351,76.0849134138,10
nslkdd,MLP,raw,macro_f1,0.5644890653,0.0059658442,10
nslkdd,MLP,raw,macro_pr_auc_ovr,0.6047700894,0.0128275931,10
nslkdd,MLP,raw,attack_recall_at_validation_1pct_fpr,0.7295488194,0.0207407960,10
nslkdd,MLP,raw,threshold_false_alerts_per_10000_benign,712.4909895994,129.1394212835,10
nslkdd,MLP,smotenc_tomek_weight,macro_f1,0.5936022063,0.0217907048,10
nslkdd,MLP,smotenc_tomek_weight,macro_pr_auc_ovr,0.6118039277,0.0249259433,10
nslkdd,MLP,smotenc_tomek_weight,attack_recall_at_validation_1pct_fpr,0.6735213902,0.0221313001,10
nslkdd,MLP,smotenc_tomek_weight,threshold_false_alerts_per_10000_benign,295.9530429410,37.5927464155,10
nslkdd,MLP,smotenc_tomek_residual_weight,macro_f1,0.5660714019,0.0171979890,10
nslkdd,MLP,smotenc_tomek_residual_weight,macro_pr_auc_ovr,0.6101730490,0.0207091718,10
nslkdd,MLP,smotenc_tomek_residual_weight,attack_recall_at_validation_1pct_fpr,0.7231824203,0.0116208964,10
nslkdd,MLP,smotenc_tomek_residual_weight,threshold_false_alerts_per_10000_benign,521.9853774071,180.3687458751,10
cicids2017,MLP,raw,macro_f1,0.5304425510,0.0325783603,3
cicids2017,MLP,raw,macro_pr_auc_ovr,0.6498742460,0.0142699875,3
cicids2017,MLP,raw,attack_recall_at_validation_1pct_fpr,0.1761461243,0.0442149239,3
cicids2017,MLP,raw,threshold_false_alerts_per_10000_benign,71.8362368721,5.9782003952,3
cicids2017,MLP,smotenc_tomek_weight,macro_f1,0.5881882130,0.0074760108,3
cicids2017,MLP,smotenc_tomek_weight,macro_pr_auc_ovr,0.7086143733,0.0350079880,3
cicids2017,MLP,smotenc_tomek_weight,attack_recall_at_validation_1pct_fpr,0.2468639280,0.0080991623,3
cicids2017,MLP,smotenc_tomek_weight,threshold_false_alerts_per_10000_benign,82.1583213057,10.3507486353,3
cicids2017,MLP,smotenc_tomek_residual_weight,macro_f1,0.5733145594,0.0205517034,3
cicids2017,MLP,smotenc_tomek_residual_weight,macro_pr_auc_ovr,0.6855902010,0.0315218211,3
cicids2017,MLP,smotenc_tomek_residual_weight,attack_recall_at_validation_1pct_fpr,0.2254372272,0.0267158218,3
cicids2017,MLP,smotenc_tomek_residual_weight,threshold_false_alerts_per_10000_benign,78.5862203793,1.1094602685,3
